;FFMETADATA1
album=TWiT March 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/185
genre=Podcast
title=TWiT 185: Craig's Lust
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:24:22.658"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="12573"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xe2\\x82\\xacR?</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT March 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/185
genre=Podcast
title=TWiT 185: Craig's Lust
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:24:22.658"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="12573"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xe2\\x82\\xacR?</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   >> Netcast you love.
[00:00:06.000 --> 00:00:08.000]   >> From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   >> This is Twit.
[00:00:14.000 --> 00:00:17.000]   >> Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:28.000]   [ Music ]
[00:00:28.000 --> 00:00:32.000]   >> This is Twit. This weekend tech, episode 185 for
[00:00:32.000 --> 00:00:34.000]   March 9, 2009.
[00:00:34.000 --> 00:00:36.000]   Craig's Lust.
[00:00:36.000 --> 00:00:38.000]   [ Music ]
[00:00:38.000 --> 00:00:42.000]   >> This weekend tech is brought to you by Audible.com.
[00:00:42.000 --> 00:00:45.000]   Sign up for the Platinum Plan and get two free books.
[00:00:45.000 --> 00:00:48.000]   Go to Audible.com/Twit2.
[00:00:48.000 --> 00:00:51.000]   [ Music ]
[00:00:51.000 --> 00:00:55.000]   >> And by go to my PC wherever you go, access your
[00:00:55.000 --> 00:00:59.000]   PC and all your files, programs and email remotely
[00:00:59.000 --> 00:01:01.000]   with GoToMyPC.
[00:01:01.000 --> 00:01:04.000]   For a free trial of this award-winning service, visit
[00:01:04.000 --> 00:01:06.000]   gotomyPC.com/Twit.
[00:01:06.000 --> 00:01:08.000]   [ Music ]
[00:01:08.000 --> 00:01:10.000]   >> And by listeners like you.
[00:01:10.000 --> 00:01:12.000]   Thanks so much for your contribution.
[00:01:12.000 --> 00:01:14.000]   You couldn't do Twit without it.
[00:01:14.000 --> 00:01:17.000]   [ Music ]
[00:01:17.000 --> 00:01:19.000]   >> This is Twit. This weekend tech.
[00:01:19.000 --> 00:01:22.000]   We talk about tech news and this time we've got a
[00:01:22.000 --> 00:01:26.000]   whopper, a doozy of a cast to do it starting with
[00:01:26.000 --> 00:01:27.000]   my friend.
[00:01:27.000 --> 00:01:29.000]   I'm proud to call my friend, Lavar Burton.
[00:01:29.000 --> 00:01:31.000]   Good to have you back, Lavar.
[00:01:31.000 --> 00:01:33.000]   >> Leo, the port. I love you, man.
[00:01:33.000 --> 00:01:35.000]   >> You're a geek, man.
[00:01:35.000 --> 00:01:36.000]   >> You know what? And proud of it.
[00:01:36.000 --> 00:01:39.000]   I'm waving my geek flag as we speak.
[00:01:39.000 --> 00:01:42.000]   >> You know that on Valentine's Day, the moon was in the
[00:01:42.000 --> 00:01:44.000]   seventh house and Jupiter aligned with Mars.
[00:01:44.000 --> 00:01:45.000]   >> That's true.
[00:01:45.000 --> 00:01:47.000]   >> Peace will guide the planets.
[00:01:47.000 --> 00:01:50.000]   And you can let your freak flag fly, Lavar.
[00:01:50.000 --> 00:01:52.000]   >> That's true.
[00:01:52.000 --> 00:01:54.000]   >> There it is. We are in the age flag.
[00:01:54.000 --> 00:01:55.000]   >> Of Aquarius.
[00:01:55.000 --> 00:01:56.000]   >> Of Aquarius.
[00:01:56.000 --> 00:01:58.000]   >> It's actually true.
[00:01:58.000 --> 00:01:59.000]   Also here, you heard that laugh.
[00:01:59.000 --> 00:02:00.000]   That distinctive laugh.
[00:02:00.000 --> 00:02:02.000]   Yes, it is. Patrick Norton of Tailsville.
[00:02:02.000 --> 00:02:03.000]   >> Hey, Leo.
[00:02:03.000 --> 00:02:04.000]   >> And my old friend from the screen,
[00:02:04.000 --> 00:02:06.000]   say, "Hey, Patrick."
[00:02:06.000 --> 00:02:08.000]   Now, where's the kid?
[00:02:08.000 --> 00:02:12.000]   >> The kid upstairs, she and Sarah are practicing mayhem.
[00:02:12.000 --> 00:02:14.000]   >> All right. Because the last time you were on the show,
[00:02:14.000 --> 00:02:16.000]   there was a diaper emergency.
[00:02:16.000 --> 00:02:17.000]   >> Yes.
[00:02:17.000 --> 00:02:19.000]   >> I just want to make sure you're prepared.
[00:02:19.000 --> 00:02:22.000]   >> I am -- there are no -- if there's a diaper emergency today,
[00:02:22.000 --> 00:02:24.000]   it's because it's come through an oak floor.
[00:02:24.000 --> 00:02:25.000]   >> Hey, that was --
[00:02:25.000 --> 00:02:26.000]   >> It's an old oak floor.
[00:02:26.000 --> 00:02:27.000]   >> It's quite an emergency.
[00:02:27.000 --> 00:02:30.000]   >> It's not construction, so it's entirely possible.
[00:02:30.000 --> 00:02:32.000]   >> That's Seamus doing it.
[00:02:32.000 --> 00:02:33.000]   He's over a year old.
[00:02:33.000 --> 00:02:35.000]   He must be walking around like crazy, right?
[00:02:35.000 --> 00:02:36.000]   >> Running, actually.
[00:02:36.000 --> 00:02:37.000]   >> Running.
[00:02:37.000 --> 00:02:39.000]   >> And climbing and his molars seem to be coming in,
[00:02:39.000 --> 00:02:42.000]   which is not my favorite aspect of the whole teething thing.
[00:02:42.000 --> 00:02:44.000]   >> Has he said any words yet?
[00:02:44.000 --> 00:02:47.000]   >> Oh, he's been talking for like almost, I don't know, five,
[00:02:47.000 --> 00:02:48.000]   six, eight months.
[00:02:48.000 --> 00:02:50.000]   >> Are you teaching a marketing speak?
[00:02:50.000 --> 00:02:51.000]   >> Oh, no.
[00:02:51.000 --> 00:02:53.000]   Teaching them entirely different.
[00:02:53.000 --> 00:02:54.000]   >> Oh, dear.
[00:02:54.000 --> 00:02:56.000]   >> Oh, dear, oh, dear, oh, dear.
[00:02:56.000 --> 00:03:00.000]   Also here, Veronica Belmont, your partner from Tekzilla.
[00:03:00.000 --> 00:03:01.000]   >> Hello.
[00:03:01.000 --> 00:03:05.000]   >> Host of the -- of the core on PS3.
[00:03:05.000 --> 00:03:06.000]   >> Mm-hmm.
[00:03:06.000 --> 00:03:07.000]   >> Q-O-R-E.
[00:03:07.000 --> 00:03:08.000]   All three of you --
[00:03:08.000 --> 00:03:09.000]   >> Yes, thank you for having me.
[00:03:09.000 --> 00:03:12.000]   >> Active Twitters, Veronica -- are you -- you're ver -- just
[00:03:12.000 --> 00:03:14.000]   Veronica on Twitter.
[00:03:14.000 --> 00:03:15.000]   >> I am.
[00:03:15.000 --> 00:03:17.000]   I was lucky enough to grab just Veronica back in the day.
[00:03:17.000 --> 00:03:18.000]   >> Wow, that's pretty good.
[00:03:18.000 --> 00:03:20.000]   >> LaVar is LaVar Burton.
[00:03:20.000 --> 00:03:22.000]   >> I wanted Veronica, but it was taken.
[00:03:22.000 --> 00:03:23.000]   >> Yeah.
[00:03:23.000 --> 00:03:24.000]   Yeah.
[00:03:24.000 --> 00:03:26.000]   See, a lot of us felt that way.
[00:03:26.000 --> 00:03:28.000]   And, of course, Patrick is -- are you --
[00:03:28.000 --> 00:03:29.000]   >> Patrick Norton.
[00:03:29.000 --> 00:03:30.000]   >> Just Patrick Norton.
[00:03:30.000 --> 00:03:31.000]   You're not the real Patrick Norton.
[00:03:31.000 --> 00:03:33.000]   >> No, I'm Patrick Norton.
[00:03:33.000 --> 00:03:37.000]   >> Also with us in studio today, Brian Shaler, who is the guy who
[00:03:37.000 --> 00:03:38.000]   jumps.
[00:03:38.000 --> 00:03:39.000]   I'm not a monkey.
[00:03:39.000 --> 00:03:40.000]   He who jumps.
[00:03:40.000 --> 00:03:43.000]   I don't know if you've seen his pictures on the interwebs, but
[00:03:43.000 --> 00:03:45.000]   he is famous for his jump.
[00:03:45.000 --> 00:03:48.000]   In fact, there's a -- the Flickr tag, Shaler Jump.
[00:03:48.000 --> 00:03:49.000]   >> Yes.
[00:03:49.000 --> 00:03:50.000]   >> There is.
[00:03:50.000 --> 00:03:51.000]   >> You could just go to --
[00:03:51.000 --> 00:03:54.000]   >> Yeah, and it's such a great thing to be known for.
[00:03:54.000 --> 00:03:56.000]   Like, oh, wow, he's such an accomplished guy.
[00:03:56.000 --> 00:03:57.000]   He jumps.
[00:03:57.000 --> 00:03:59.000]   >> He jumps for a living.
[00:03:59.000 --> 00:04:00.000]   Isn't he cool?
[00:04:00.000 --> 00:04:03.000]   >> He's going to jumping and flailing and looking like an
[00:04:03.000 --> 00:04:04.000]   idiot.
[00:04:04.000 --> 00:04:05.000]   That's all be his fan.
[00:04:05.000 --> 00:04:06.000]   >> Thanks for being here.
[00:04:06.000 --> 00:04:07.000]   I appreciate it.
[00:04:07.000 --> 00:04:08.000]   >> Love to be here.
[00:04:08.000 --> 00:04:11.000]   >> Brian currently is employed by a company called BitGravity,
[00:04:11.000 --> 00:04:13.000]   about which more later.
[00:04:13.000 --> 00:04:17.000]   Also with me, Chris in studio, Chris Hutchins.
[00:04:17.000 --> 00:04:18.000]   Chris has a lot of time on his hands.
[00:04:18.000 --> 00:04:21.000]   He's the creator of Laid-Off Camp.
[00:04:21.000 --> 00:04:22.000]   >> Yep.
[00:04:22.000 --> 00:04:25.000]   We launched our first event on Tuesday in San Francisco, and
